Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,N,P,K,Temperature,Humidity
Rice,2005,Autumn     ,West Bengal,288129.0,605612,1650.1,34552429.68,60507.09,2.116111111,76,30,28,21.85,80.67
Rice,2005,Autumn     ,West Bengal,288129.0,605612,1650.1,34552429.68,60507.09,2.116111111,121,46,31,21.12,83.18
Rice,2005,Summer     ,West Bengal,1381957.0,4047038,1650.1,165724283.4,290210.97,2.767222222,129,67,30,20.17,79.52
Rice,2005,Summer     ,West Bengal,1381957.0,4047038,1650.1,165724283.4,290210.97,2.767222222,76,30,28,21.85,80.67
Rice,2005,Summer     ,West Bengal,1381957.0,4047038,1650.1,165724283.4,290210.97,2.767222222,121,46,31,21.12,83.18
Rice,2005,Winter     ,West Bengal,4112863.0,9858092,1650.1,493214531.0,863701.23,2.317222222,129,67,30,20.17,79.52
Rice,2005,Winter     ,West Bengal,4112863.0,9858092,1650.1,493214531.0,863701.23,2.317222222,76,30,28,21.85,80.67
Rice,2005,Winter     ,West Bengal,4112863.0,9858092,1650.1,493214531.0,863701.23,2.317222222,121,46,31,21.12,83.18
Safflower,2005,Rabi       ,West Bengal,321.0,183,1650.1,38494.32,67.41,0.5525,109,42,45,25.6,76.07
Sannhamp,2005,Whole Year ,West Bengal,1257.0,6725,1650.1,150739.44,263.97,5.41625,95,57,57,20.79,80.93
Sesamum,2005,Whole Year ,West Bengal,148628.0,136072,1650.1,17823469.76,31211.88,0.854705882,138,63,22,29.37,73.09
Small millets,2005,Kharif     ,West Bengal,2113.0,1627,1650.1,253390.96,443.73,0.744285714,66,22,34,22.85,69.67
Small millets,2005,Kharif     ,West Bengal,2113.0,1627,1650.1,253390.96,443.73,0.744285714,142,31,66,27.71,60.39
Small millets,2005,Rabi       ,West Bengal,1170.0,1408,1650.1,140306.4,245.7,1.245,66,22,34,22.85,69.67
Small millets,2005,Rabi       ,West Bengal,1170.0,1408,1650.1,140306.4,245.7,1.245,142,31,66,27.71,60.39
Soyabean,2005,Kharif     ,West Bengal,573.0,328,1650.1,68714.16,120.33,0.605,102,49,24,21.55,52.14
Sugarcane,2005,Whole Year ,West Bengal,15031.0,1247713,1650.1,1802517.52,3156.51,80.03066667,57,50,73,32.42,61.67
Sunflower,2005,Kharif     ,West Bengal,12473.0,15689,1650.1,1495762.16,2619.33,1.175,128,42,43,31.7,77.35
Tobacco,2005,Whole Year ,West Bengal,13884.0,19890,1650.1,1664969.28,2915.64,0.791666667,76,20,30,25.8,87.07
Turmeric,2005,Whole Year ,West Bengal,11844.0,25049,1650.1,1420332.48,2487.24,2.017777778,95,60,52,33.66,60.25
Urad,2005,Kharif     ,West Bengal,48605.0,30714,1650.1,5828711.6,10207.05,0.492352941,99,39,76,22.79,76.79
Urad,2005,Kharif     ,West Bengal,48605.0,30714,1650.1,5828711.6,10207.05,0.492352941,120,73,71,32.21,69.13
Urad,2005,Rabi       ,West Bengal,8514.0,10212,1650.1,1020998.88,1787.94,0.808181818,99,39,76,22.79,76.79
Urad,2005,Rabi       ,West Bengal,8514.0,10212,1650.1,1020998.88,1787.94,0.808181818,120,73,71,32.21,69.13
Wheat,2005,Rabi       ,West Bengal,366729.0,773514,1650.1,43978141.68,77013.09,1.953333333,52,25,83,28.19,75.1
Arecanut,2006,Kharif     ,Puducherry,63.0,82,1434.5875,8045.73,13.86,1.3,142,30,62,24.94,50.06
Arecanut,2006,Kharif     ,Puducherry,63.0,82,1434.5875,8045.73,13.86,1.3,113,54,63,21.27,54.91
Arecanut,2006,Whole Year ,Puducherry,63.0,82,1434.5875,8045.73,13.86,1.3,142,30,62,24.94,50.06
Arecanut,2006,Whole Year ,Puducherry,63.0,82,1434.5875,8045.73,13.86,1.3,113,54,63,21.27,54.91
Banana,2006,Kharif     ,Puducherry,305.0,9890,1434.5875,38951.55,67.1,22.23666667,93,23,55,22.57,58.68
Black pepper,2006,Kharif     ,Puducherry,12.0,7,1434.5875,1532.52,2.64,0.58,102,48,31,32.94,85.74
Cotton(lint),2006,Summer     ,Puducherry,57.0,40,1434.5875,7279.47,12.54,0.75,73,78,75,29.1,51.62
Dry chillies,2006,Kharif     ,Puducherry,1.0,2,1434.5875,127.71,0.22,2.0,109,29,22,23.56,72.79
Dry chillies,2006,Kharif     ,Puducherry,1.0,2,1434.5875,127.71,0.22,2.0,52,70,69,27.44,87.15
Dry chillies,2006,Kharif     ,Puducherry,1.0,2,1434.5875,127.71,0.22,2.0,69,48,48,21.62,76.08
Dry chillies,2006,Rabi       ,Puducherry,4.0,8,1434.5875,510.84,0.88,2.0,109,29,22,23.56,72.79
Dry chillies,2006,Rabi       ,Puducherry,4.0,8,1434.5875,510.84,0.88,2.0,52,70,69,27.44,87.15
Dry chillies,2006,Rabi       ,Puducherry,4.0,8,1434.5875,510.84,0.88,2.0,69,48,48,21.62,76.08
Dry chillies,2006,Summer     ,Puducherry,4.0,10,1434.5875,510.84,0.88,2.335,109,29,22,23.56,72.79
Dry chillies,2006,Summer     ,Puducherry,4.0,10,1434.5875,510.84,0.88,2.335,52,70,69,27.44,87.15
Dry chillies,2006,Summer     ,Puducherry,4.0,10,1434.5875,510.84,0.88,2.335,69,48,48,21.62,76.08
Groundnut,2006,Rabi       ,Puducherry,697.0,1427,1434.5875,89013.87,153.34,1.6,95,57,35,21.48,69.38
Jowar,2006,Summer     ,Puducherry,4.0,7,1434.5875,510.84,0.88,1.75,64,20,59,33.62,65.44
Onion,2006,Rabi       ,Puducherry,1.0,4,1434.5875,127.71,0.22,4.0,74,59,46,26.87,74.97
Onion,2006,Rabi       ,Puducherry,1.0,4,1434.5875,127.71,0.22,4.0,143,27,89,25.42,69.22
Onion,2006,Summer     ,Puducherry,2.0,10,1434.5875,255.42,0.44,5.0,74,59,46,26.87,74.97
Onion,2006,Summer     ,Puducherry,2.0,10,1434.5875,255.42,0.44,5.0,143,27,89,25.42,69.22
Rice,2006,Kharif     ,Puducherry,5010.0,13285,1434.5875,639827.1,1102.2,2.64,127,76,61,34.24,78.22
Rice,2006,Kharif     ,Puducherry,5010.0,13285,1434.5875,639827.1,1102.2,2.64,120,57,76,25.99,74.71
Rice,2006,Kharif     ,Puducherry,5010.0,13285,1434.5875,639827.1,1102.2,2.64,66,36,29,25.04,72.7
Rice,2006,Rabi       ,Puducherry,12061.0,33581,1434.5875,1540310.31,2653.42,4.05,127,76,61,34.24,78.22
Rice,2006,Rabi       ,Puducherry,12061.0,33581,1434.5875,1540310.31,2653.42,4.05,120,57,76,25.99,74.71
Rice,2006,Rabi       ,Puducherry,12061.0,33581,1434.5875,1540310.31,2653.42,4.05,66,36,29,25.04,72.7
Rice,2006,Summer     ,Puducherry,4574.0,13942,1434.5875,584145.54,1006.28,3.05,127,76,61,34.24,78.22
Rice,2006,Summer     ,Puducherry,4574.0,13942,1434.5875,584145.54,1006.28,3.05,120,57,76,25.99,74.71
Rice,2006,Summer     ,Puducherry,4574.0,13942,1434.5875,584145.54,1006.28,3.05,66,36,29,25.04,72.7
Sesamum,2006,Rabi       ,Puducherry,134.0,88,1434.5875,17113.14,29.48,0.5,133,38,57,24.09,88.27
Sugarcane,2006,Kharif     ,Puducherry,2500.0,383706,1434.5875,319275.0,550.0,112.3,149,52,27,28.48,83.43
Tapioca,2006,Kharif     ,Puducherry,357.0,14141,1434.5875,45592.47,78.54,26.93,58,34,37,28.38,74.35
Arecanut,2006,Rabi       ,Meghalaya,12081.0,16561,2454.7,1542864.51,2657.82,1.254285714,87,64,36,20.24,71.55
Banana,2006,Kharif     ,Meghalaya,6422.0,72367,2454.7,820153.62,1412.84,10.31714286,97,50,77,29.81,78.96
Castor seed,2006,Rabi       ,Meghalaya,33.0,21,2454.7,4214.43,7.26,0.693333333,109,40,85,31.82,82.16
Cotton(lint),2006,Rabi       ,Meghalaya,7208.0,7738,2454.7,920533.68,1585.76,1.05,112,22,63,29.24,61.81
Dry chillies,2006,Rabi       ,Meghalaya,1870.0,1375,2454.7,238817.7,411.4,0.958571429,135,21,28,33.05,76.68
Ginger,2006,Kharif     ,Meghalaya,9639.0,57278,2454.7,1230996.69,2120.58,7.088571429,51,54,67,24.15,55.41
Gram,2006,Rabi       ,Meghalaya,536.0,332,2454.7,68452.56,117.92,0.6,137,60,58,22.88,67.22
Jute,2006,Rabi       ,Meghalaya,3967.0,35304,2454.7,506625.57,872.74,7.056666667,121,78,25,30.46,87.54
Linseed,2006,Rabi       ,Meghalaya,82.0,39,2454.7,10472.22,18.04,0.48,60,35,49,22.83,63.05
Maize,2006,Kharif     ,Meghalaya,17039.0,25334,2454.7,2176050.69,3748.58,1.541428571,113,75,37,21.37,56.17
Mesta,2006,Kharif     ,Meghalaya,4425.0,20178,2454.7,565116.75,973.5,4.566666667,126,64,62,21.45,55.85
Other  Rabi pulses,2006,Rabi       ,Meghalaya,2167.0,1706,2454.7,276747.57,476.74,0.76,130,70,52,31.53,65.75
Potato,2006,Rabi       ,Meghalaya,18173.0,188202,2454.7,2320873.83,3998.06,8.212857143,121,78,72,20.43,59.01
Rapeseed &Mustard,2006,Rabi       ,Meghalaya,7261.0,4815,2454.7,927302.31,1597.42,0.657142857,70,69,75,24.34,67.08
Rice,2006,Autumn     ,Meghalaya,32679.0,44736,2454.7,4173435.09,7189.38,1.641428571,67,40,38,21.94,78.76
Rice,2006,Autumn     ,Meghalaya,32679.0,44736,2454.7,4173435.09,7189.38,1.641428571,143,31,88,31.32,85.53
Rice,2006,Autumn     ,Meghalaya,32679.0,44736,2454.7,4173435.09,7189.38,1.641428571,113,47,45,27.55,54.41
Rice,2006,Rabi       ,Meghalaya,9854.0,39940,2454.7,1258454.34,2167.88,2.077142857,67,40,38,21.94,78.76
Rice,2006,Rabi       ,Meghalaya,9854.0,39940,2454.7,1258454.34,2167.88,2.077142857,143,31,88,31.32,85.53
Rice,2006,Rabi       ,Meghalaya,9854.0,39940,2454.7,1258454.34,2167.88,2.077142857,113,47,45,27.55,54.41
Rice,2006,Winter     ,Meghalaya,61752.0,115533,2454.7,7886347.92,13585.44,1.852857143,67,40,38,21.94,78.76
Rice,2006,Winter     ,Meghalaya,61752.0,115533,2454.7,7886347.92,13585.44,1.852857143,143,31,88,31.32,85.53
Rice,2006,Winter     ,Meghalaya,61752.0,115533,2454.7,7886347.92,13585.44,1.852857143,113,47,45,27.55,54.41
Sesamum,2006,Rabi       ,Meghalaya,1635.0,876,2454.7,208805.85,359.7,0.58,131,31,48,23.08,80.74
Small millets,2006,Rabi       ,Meghalaya,2625.0,2219,2454.7,335238.75,577.5,0.977142857,144,52,43,31.26,54.14
Soyabean,2006,Kharif     ,Meghalaya,1052.0,1031,2454.7,134350.92,231.44,0.972857143,87,39,25,31.26,65.18
Sugarcane,2006,Whole Year ,Meghalaya,87.0,239,2454.7,11110.77,19.14,2.348,81,59,73,27.85,89.86
Sweet potato,2006,Rabi       ,Meghalaya,4947.0,16406,2454.7,631781.37,1088.34,3.238571429,60,68,58,24.14,52.75
Tapioca,2006,Kharif     ,Meghalaya,3993.0,20870,2454.7,509946.03,878.46,6.318571429,94,40,23,28.79,50.92
Tobacco,2006,Rabi       ,Meghalaya,709.0,468,2454.7,90546.39,155.98,0.58,138,79,77,34.0,63.35
Turmeric,2006,Rabi       ,Meghalaya,1912.0,14449,2454.7,244181.52,420.64,6.125714286,82,71,67,20.77,88.04
Wheat,2006,Rabi       ,Meghalaya,656.0,1183,2454.7,83777.76,144.32,1.32,90,73,79,24.0,50.8
Arecanut,2006,Whole Year ,Andhra Pradesh,255.0,176,845.2,32566.05,56.1,0.685,57,58,45,24.27,58.91
Arhar/Tur,2006,Kharif     ,Andhra Pradesh,395644.0,157669,845.2,50527695.24,87041.68,0.420454545,60,60,59,29.48,74.13
Arhar/Tur,2006,Kharif     ,Andhra Pradesh,395644.0,157669,845.2,50527695.24,87041.68,0.420454545,135,68,75,29.77,59.35
Arhar/Tur,2006,Rabi       ,Andhra Pradesh,5606.0,3174,845.2,715942.26,1233.32,0.433333333,60,60,59,29.48,74.13
Arhar/Tur,2006,Rabi       ,Andhra Pradesh,5606.0,3174,845.2,715942.26,1233.32,0.433333333,135,68,75,29.77,59.35
Bajra,2006,Kharif     ,Andhra Pradesh,48995.0,39988,845.2,6257151.45,10778.9,0.7375,100,78,58,23.09,52.15
Bajra,2006,Kharif     ,Andhra Pradesh,48995.0,39988,845.2,6257151.45,10778.9,0.7375,137,61,58,23.24,52.1
Bajra,2006,Rabi       ,Andhra Pradesh,12081.0,6986,845.2,1542864.51,2657.82,0.824545455,100,78,58,23.09,52.15
Bajra,2006,Rabi       ,Andhra Pradesh,12081.0,6986,845.2,1542864.51,2657.82,0.824545455,137,61,58,23.24,52.1
Banana,2006,Whole Year ,Andhra Pradesh,50286.0,1224106,845.2,6422025.06,11062.92,26.19809524,90,55,67,33.92,72.37
Cashewnut,2006,Whole Year ,Andhra Pradesh,145095.0,37470,845.2,18530082.45,31920.9,0.2375,66,41,44,31.34,72.48
Castor seed,2006,Kharif     ,Andhra Pradesh,202199.0,86892,845.2,25822834.29,44483.78,0.444117647,125,45,53,34.01,78.26
Coconut ,2006,Whole Year ,Andhra Pradesh,105043.0,1326398065,845.2,13415041.53,23109.46,11710.48222,95,26,40,32.44,55.27
Coriander,2006,Whole Year ,Andhra Pradesh,25375.0,10061,845.2,3240641.25,5582.5,0.495,81,26,44,26.03,69.99
Cotton(lint),2006,Kharif     ,Andhra Pradesh,971806.0,2181944,845.2,124109344.3,213797.32,2.080952381,128,27,41,21.83,74.04
Dry chillies,2006,Kharif     ,Andhra Pradesh,164886.0,609739,845.2,21057591.06,36274.92,3.297727273,129,45,42,29.44,58.9
Dry chillies,2006,Kharif     ,Andhra Pradesh,164886.0,609739,845.2,21057591.06,36274.92,3.297727273,103,43,44,25.28,71.89
Dry chillies,2006,Rabi       ,Andhra Pradesh,49069.0,155979,845.2,6266601.99,10795.18,3.181363636,129,45,42,29.44,58.9
Dry chillies,2006,Rabi       ,Andhra Pradesh,49069.0,155979,845.2,6266601.99,10795.18,3.181363636,103,43,44,25.28,71.89
Ginger,2006,Whole Year ,Andhra Pradesh,2439.0,10301,845.2,311484.69,536.58,3.558,135,43,45,26.38,78.33
Gram,2006,Rabi       ,Andhra Pradesh,601745.0,653429,845.2,76848853.95,132383.9,1.465,141,59,49,26.39,89.63
Groundnut,2006,Kharif     ,Andhra Pradesh,1106630.0,332732,845.2,141327717.3,243458.6,0.874545455,69,67,57,34.05,73.86
Groundnut,2006,Kharif     ,Andhra Pradesh,1106630.0,332732,845.2,141327717.3,243458.6,0.874545455,82,31,53,21.03,84.45
Groundnut,2006,Rabi       ,Andhra Pradesh,227602.0,409905,845.2,29067051.42,50072.44,1.98,69,67,57,34.05,73.86
Groundnut,2006,Rabi       ,Andhra Pradesh,227602.0,409905,845.2,29067051.42,50072.44,1.98,82,31,53,21.03,84.45
Horse-gram,2006,Kharif     ,Andhra Pradesh,10311.0,4554,845.2,1316817.81,2268.42,0.435,123,66,34,22.9,83.35
Horse-gram,2006,Kharif     ,Andhra Pradesh,10311.0,4554,845.2,1316817.81,2268.42,0.435,89,27,63,29.12,87.61
Horse-gram,2006,Rabi       ,Andhra Pradesh,53703.0,25476,845.2,6858410.13,11814.66,0.4105,123,66,34,22.9,83.35
Horse-gram,2006,Rabi       ,Andhra Pradesh,53703.0,25476,845.2,6858410.13,11814.66,0.4105,89,27,63,29.12,87.61
Jowar,2006,Kharif     ,Andhra Pradesh,163068.0,163689,845.2,20825414.28,35874.96,0.90952381,81,73,29,33.26,78.92
Jowar,2006,Kharif     ,Andhra Pradesh,163068.0,163689,845.2,20825414.28,35874.96,0.90952381,146,28,56,33.77,58.52
Jowar,2006,Rabi       ,Andhra Pradesh,259348.0,246903,845.2,33121333.08,57056.56,1.494545455,81,73,29,33.26,78.92
Jowar,2006,Rabi       ,Andhra Pradesh,259348.0,246903,845.2,33121333.08,57056.56,1.494545455,146,28,56,33.77,58.52
Linseed,2006,Rabi       ,Andhra Pradesh,2830.0,777,845.2,361419.3,622.6,0.266,51,22,26,28.38,61.92
Maize,2006,Kharif     ,Andhra Pradesh,535709.0,1284991,845.2,68415396.39,117855.98,2.942727273,146,73,51,20.52,81.39
Maize,2006,Kharif     ,Andhra Pradesh,535709.0,1284991,845.2,68415396.39,117855.98,2.942727273,82,40,30,25.44,70.83
Maize,2006,Rabi       ,Andhra Pradesh,190172.0,1177003,845.2,24286866.12,41837.84,6.363181818,146,73,51,20.52,81.39
Maize,2006,Rabi       ,Andhra Pradesh,190172.0,1177003,845.2,24286866.12,41837.84,6.363181818,82,40,30,25.44,70.83
Mesta,2006,Kharif     ,Andhra Pradesh,61894.0,543574,845.2,7904482.74,13616.68,8.692222222,126,50,67,33.78,60.05
Moong(Green Gram),2006,Kharif     ,Andhra Pradesh,246320.0,80062,845.2,31457527.2,54190.4,0.312727273,79,67,87,27.5,76.27
Moong(Green Gram),2006,Kharif     ,Andhra Pradesh,246320.0,80062,845.2,31457527.2,54190.4,0.312727273,82,66,67,30.9,86.26
Moong(Green Gram),2006,Rabi       ,Andhra Pradesh,147594.0,63534,845.2,18849229.74,32470.68,0.597142857,79,67,87,27.5,76.27
Moong(Green Gram),2006,Rabi       ,Andhra Pradesh,147594.0,63534,845.2,18849229.74,32470.68,0.597142857,82,66,67,30.9,86.26
Niger seed,2006,Kharif     ,Andhra Pradesh,14547.0,5334,845.2,1857797.37,3200.34,0.4225,126,43,64,24.04,64.31
Onion,2006,Kharif     ,Andhra Pradesh,18601.0,306843,845.2,2375533.71,4092.22,15.37055556,75,23,52,20.38,73.85
Onion,2006,Kharif     ,Andhra Pradesh,18601.0,306843,845.2,2375533.71,4092.22,15.37055556,71,39,23,28.68,73.26
Onion,2006,Rabi       ,Andhra Pradesh,12439.0,272602,845.2,1588584.69,2736.58,19.59105263,75,23,52,20.38,73.85
Onion,2006,Rabi       ,Andhra Pradesh,12439.0,272602,845.2,1588584.69,2736.58,19.59105263,71,39,23,28.68,73.26
Other  Rabi pulses,2006,Rabi       ,Andhra Pradesh,14792.0,5811,845.2,1889086.32,3254.24,0.443125,115,35,66,32.52,55.08
Other Kharif pulses,2006,Kharif     ,Andhra Pradesh,10190.0,3106,845.2,1301364.9,2241.8,0.298666667,87,29,72,34.85,53.61
Potato,2006,Whole Year ,Andhra Pradesh,3645.0,44728,845.2,465502.95,801.9,12.436,139,62,50,32.7,85.58
Ragi,2006,Kharif     ,Andhra Pradesh,50702.0,50883,845.2,6475152.42,11154.44,1.205,95,45,50,28.31,87.34
Ragi,2006,Kharif     ,Andhra Pradesh,50702.0,50883,845.2,6475152.42,11154.44,1.205,64,48,46,29.13,86.17
Ragi,2006,Rabi       ,Andhra Pradesh,8220.0,13611,845.2,1049776.2,1808.4,1.621818182,95,45,50,28.31,87.34
Ragi,2006,Rabi       ,Andhra Pradesh,8220.0,13611,845.2,1049776.2,1808.4,1.621818182,64,48,46,29.13,86.17
Rapeseed &Mustard,2006,Rabi       ,Andhra Pradesh,5387.0,2780,845.2,687973.77,1185.14,0.285,147,24,67,32.36,65.87
Rice,2006,Kharif     ,Andhra Pradesh,2640870.0,6949186,845.2,337265507.7,580991.4,2.689090909,93,30,55,20.3,61.5
Rice,2006,Kharif     ,Andhra Pradesh,2640870.0,6949186,845.2,337265507.7,580991.4,2.689090909,98,48,68,34.27,87.69
Rice,2006,Rabi       ,Andhra Pradesh,1337020.0,4922944,845.2,170750824.2,294144.4,3.036818182,93,30,55,20.3,61.5
Rice,2006,Rabi       ,Andhra Pradesh,1337020.0,4922944,845.2,170750824.2,294144.4,3.036818182,98,48,68,34.27,87.69
Safflower,2006,Rabi       ,Andhra Pradesh,14302.0,8994,845.2,1826508.42,3146.44,0.50125,124,64,50,27.97,85.31
Sesamum,2006,Kharif     ,Andhra Pradesh,79449.0,18224,845.2,10146431.79,17478.78,0.213809524,110,34,63,34.28,82.79
Sesamum,2006,Kharif     ,Andhra Pradesh,79449.0,18224,845.2,10146431.79,17478.78,0.213809524,116,25,78,31.47,63.37
Sesamum,2006,Rabi       ,Andhra Pradesh,34163.0,10521,845.2,4362956.73,7515.86,0.311,110,34,63,34.28,82.79
Sesamum,2006,Rabi       ,Andhra Pradesh,34163.0,10521,845.2,4362956.73,7515.86,0.311,116,25,78,31.47,63.37
Small millets,2006,Kharif     ,Andhra Pradesh,33676.0,17007,845.2,4300761.96,7408.72,0.5475,55,67,42,22.28,75.55
Small millets,2006,Kharif     ,Andhra Pradesh,33676.0,17007,845.2,4300761.96,7408.72,0.5475,58,34,87,22.48,80.02
Small millets,2006,Rabi       ,Andhra Pradesh,360.0,225,845.2,45975.6,79.2,0.6225,55,67,42,22.28,75.55
Small millets,2006,Rabi       ,Andhra Pradesh,360.0,225,845.2,45975.6,79.2,0.6225,58,34,87,22.48,80.02
Soyabean,2006,Kharif     ,Andhra Pradesh,102503.0,156222,845.2,13090658.13,22550.66,1.191111111,55,62,61,25.3,73.05
Sugarcane,2006,Whole Year ,Andhra Pradesh,264333.0,21691638,845.2,33757967.43,58153.26,86.37380952,122,39,61,23.96,74.08
Sunflower,2006,Whole Year ,Andhra Pradesh,445693.0,329437,845.2,56919453.03,98052.46,0.896363636,144,53,32,26.59,80.27
Sweet potato,2006,Whole Year ,Andhra Pradesh,997.0,8608,845.2,127326.87,219.34,8.821764706,81,79,20,29.06,80.67
Tapioca,2006,Whole Year ,Andhra Pradesh,19732.0,209152,845.2,2519973.72,4341.04,8.95,90,79,72,26.55,59.6
Tobacco,2006,Whole Year ,Andhra Pradesh,191822.0,582747,845.2,24497587.62,42200.84,4.163571429,125,21,59,20.85,65.63
Urad,2006,Kharif     ,Andhra Pradesh,82015.0,22555,845.2,10474135.65,18043.3,0.339473684,57,63,65,34.63,81.25
Urad,2006,Kharif     ,Andhra Pradesh,82015.0,22555,845.2,10474135.65,18043.3,0.339473684,121,35,41,26.38,60.46
Urad,2006,Rabi       ,Andhra Pradesh,415708.0,327533,845.2,53090068.68,91455.76,0.793636364,57,63,65,34.63,81.25
Urad,2006,Rabi       ,Andhra Pradesh,415708.0,327533,845.2,53090068.68,91455.76,0.793636364,121,35,41,26.38,60.46
Wheat,2006,Rabi       ,Andhra Pradesh,10016.0,8796,845.2,1279143.36,2203.52,0.68,99,38,71,32.77,86.62
Arecanut,2006,Whole Year ,Assam,69104.0,55044,1774.9,8825271.84,15202.88,0.817037037,141,53,47,21.11,83.56
Arhar/Tur,2006,Kharif     ,Assam,6676.0,4769,1774.9,852591.96,1468.72,0.706666667,111,68,72,32.15,85.82
Banana,2006,Whole Year ,Assam,43250.0,598857,1774.9,5523457.5,9515.0,13.70814815,133,33,82,22.6,61.89
Castor seed,2006,Kharif     ,Assam,1303.0,552,1774.9,166406.13,286.66,0.4636,111,43,36,30.19,54.2
Coconut ,2006,Whole Year ,Assam,18595.0,135725000,1774.9,2374767.45,4090.9,6233.948519,56,47,83,29.93,54.02
Cotton(lint),2006,Kharif     ,Assam,1374.0,648,1774.9,175473.54,302.28,0.518461538,124,67,25,33.65,72.24
Dry chillies,2006,Whole Year ,Assam,15453.0,9975,1774.9,1973502.63,3399.66,0.633703704,133,51,33,24.81,62.22
Gram,2006,Rabi       ,Assam,1895.0,971,1774.9,242010.45,416.9,0.486666667,129,56,36,21.63,60.54
Jute,2006,Kharif     ,Assam,57663.0,558564,1774.9,7364141.73,12685.86,9.352962963,53,29,57,32.97,58.9
Linseed,2006,Rabi       ,Assam,8169.0,4142,1774.9,1043262.99,1797.18,0.484583333,55,68,88,24.97,72.48
Maize,2006,Kharif     ,Assam,18657.0,13557,1774.9,2382685.47,4104.54,0.6252,107,64,32,23.49,71.92
Masoor,2006,Rabi       ,Assam,20137.0,10602,1774.9,2571696.27,4430.14,0.5184,71,67,72,27.29,66.89
Mesta,2006,Kharif     ,Assam,4860.0,24668,1774.9,620670.6,1069.2,4.6988,75,28,28,22.19,55.54
Moong(Green Gram),2006,Rabi       ,Assam,7374.0,3395,1774.9,941733.54,1622.28,0.444074074,52,43,63,24.45,87.15
Niger seed,2006,Kharif     ,Assam,10029.0,5147,1774.9,1280803.59,2206.38,0.53,90,55,45,25.78,67.12
Onion,2006,Whole Year ,Assam,6870.0,16775,1774.9,877367.7,1511.4,2.384814815,109,75,38,24.16,54.95
Other  Rabi pulses,2006,Rabi       ,Assam,14486.0,7916,1774.9,1850007.06,3186.92,0.508076923,63,48,67,26.75,51.48
Peas & beans (Pulses),2006,Rabi       ,Assam,19143.0,11716,1774.9,2444752.53,4211.46,0.616666667,124,79,49,25.77,56.1
Potato,2006,Whole Year ,Assam,77712.0,504557,1774.9,9924599.52,17096.64,6.657407407,131,48,51,31.62,61.89
Rapeseed &Mustard,2006,Rabi       ,Assam,238426.0,115874,1774.9,30449384.46,52453.72,0.495185185,61,77,88,33.78,75.2
Rice,2006,Autumn     ,Assam,379441.0,335708,1774.9,48458410.11,83477.02,1.028148148,136,67,30,21.51,88.84
Rice,2006,Autumn     ,Assam,379441.0,335708,1774.9,48458410.11,83477.02,1.028148148,61,42,45,32.35,60.88
Rice,2006,Autumn     ,Assam,379441.0,335708,1774.9,48458410.11,83477.02,1.028148148,62,46,45,33.98,81.59
Rice,2006,Summer     ,Assam,312471.0,630162,1774.9,39905671.41,68743.62,1.837037037,136,67,30,21.51,88.84
Rice,2006,Summer     ,Assam,312471.0,630162,1774.9,39905671.41,68743.62,1.837037037,61,42,45,32.35,60.88
Rice,2006,Summer     ,Assam,312471.0,630162,1774.9,39905671.41,68743.62,1.837037037,62,46,45,33.98,81.59
Rice,2006,Winter     ,Assam,1504647.0,1950144,1774.9,192158468.4,331022.34,1.269259259,136,67,30,21.51,88.84
Rice,2006,Winter     ,Assam,1504647.0,1950144,1774.9,192158468.4,331022.34,1.269259259,61,42,45,32.35,60.88
Rice,2006,Winter     ,Assam,1504647.0,1950144,1774.9,192158468.4,331022.34,1.269259259,62,46,45,33.98,81.59
Sesamum,2006,Kharif     ,Assam,13378.0,7586,1774.9,1708504.38,2943.16,0.496666667,74,50,36,30.3,86.46
Small millets,2006,Kharif     ,Assam,7473.0,3843,1774.9,954376.83,1644.06,0.500384615,94,62,63,34.95,65.66
Sugarcane,2006,Whole Year ,Assam,26627.0,1055337,1774.9,3400534.17,5857.94,39.10666667,68,26,42,25.03,60.13
Sweet potato,2006,Whole Year ,Assam,8112.0,28443,1774.9,1035983.52,1784.64,3.406666667,104,68,44,32.45,69.64
Tapioca,2006,Whole Year ,Assam,2671.0,12602,1774.9,341113.41,587.62,4.426923077,149,73,56,30.11,85.87
Tobacco,2006,Whole Year ,Assam,563.0,301,1774.9,71900.73,123.86,0.5928,94,64,84,24.85,50.44
Turmeric,2006,Whole Year ,Assam,11741.0,8538,1774.9,1499443.11,2583.02,0.723703704,57,23,21,30.57,69.47
Urad,2006,Rabi       ,Assam,37079.0,19056,1774.9,4735359.09,8157.38,0.507777778,142,33,51,27.64,80.3
Wheat,2006,Rabi       ,Assam,59573.0,67413,1774.9,7608067.83,13106.06,1.134444444,102,61,74,22.83,74.05
Arecanut,2006,Whole Year ,Karnataka,168401.0,223939,1146.3,21506491.71,37048.22,1.286666667,104,61,69,22.61,69.89
Arhar/Tur,2006,Kharif     ,Karnataka,595697.0,262673,1146.3,76076463.87,131053.34,0.4648,81,29,84,30.7,72.14
Bajra,2006,Kharif     ,Karnataka,386456.0,161903,1146.3,49354295.76,85020.32,0.485,100,78,51,30.68,74.77
Bajra,2006,Kharif     ,Karnataka,386456.0,161903,1146.3,49354295.76,85020.32,0.485,93,63,56,27.96,77.28
Bajra,2006,Kharif     ,Karnataka,386456.0,161903,1146.3,49354295.76,85020.32,0.485,131,53,32,27.52,64.25
